Item,City,Price,Month,Year,Category
Tea Lipton Yellow Label 190 gm Pack,Rawalpindi,558.82,4,2023,Food & Beverages
Cooked Beef at Average Hotel,Rawalpindi,233.04,4,2023,Food & Beverages
Cooked Daal at Average Hotel,Rawalpindi,162.71,4,2023,Food & Beverages
Tea Prepared Ordinary,Rawalpindi,48.17,4,2023,Food & Beverages
Cigarettes Capstan 20'S Packet,Rawalpindi,220.0,4,2023,Miscellaneous
"Long Cloth 57"" Gul Ahmed/Al Karam",Rawalpindi,487.04,4,2023,Apparel & Footwear
Shirting (Average Quality),Rawalpindi,485.91,4,2023,Apparel & Footwear
Lawn Printed Gul Ahmed/Al Karam,Rawalpindi,379.07,4,2023,Apparel & Footwear
Georgette (Average Quality),Rawalpindi,295.8,4,2023,Apparel & Footwear
Gents Sandal Bata,Rawalpindi,1499.0,4,2023,Apparel & Footwear
Gents Sponge Chappal Bata,Rawalpindi,379.0,4,2023,Apparel & Footwear
Ladies Sandal Bata,Rawalpindi,699.0,4,2023,Apparel & Footwear
Electricity Charges upto 50 Units,Rawalpindi,6.23,4,2023,Housing Water & Energy
Gas Charges upto 3.3719 MMBTU,Rawalpindi,295.0,4,2023,Housing Water & Energy
Firewood Whole,Rawalpindi,1365.2,4,2023,Housing Water & Energy
Energy Saver Philips 14 Watt,Rawalpindi,241.8,4,2023,Household Equipment
Sufi Washing Soap 250 gm Cake,Rawalpindi,130.0,4,2023,Personal Care
Match Box,Rawalpindi,5.0,4,2023,Household Equipment
Petrol Super,Rawalpindi,277.69,4,2023,Transport & Communication
Hi-Speed Diesel,Rawalpindi,293.73,4,2023,Transport & Communication
LPG 11.67 kg Cylinder,Rawalpindi,3576.44,4,2023,Housing Water & Energy
Telephone Call Charges,Rawalpindi,1.79,4,2023,Transport & Communication
Toilet Soap LIFEBUOY 115 gm,Rawalpindi,93.87,4,2023,Personal Care
Wheat Flour Bag,Gujranwala,2663.46,4,2023,Food & Beverages
Rice Basmati Broken (Average Qualit,Gujranwala,174.93,4,2023,Food & Beverages
Bread plain (Small Size),Gujranwala,100.0,4,2023,Food & Beverages
Beef with Bone (Average Quality),Gujranwala,700.0,4,2023,Food & Beverages
Mutton (Average Quality),Gujranwala,1600.0,4,2023,Food & Beverages
Chicken Farm Broiler (Live),Gujranwala,354.02,4,2023,Food & Beverages
Milk fresh (Un-boiled),Gujranwala,160.0,4,2023,Food & Beverages
Curd (Dahi) Loose,Gujranwala,180.0,4,2023,Food & Beverages
Powdered Milk NIDO 390 gm Polybag,Gujranwala,680.0,4,2023,Food & Beverages
Eggs Hen (Farm),Gujranwala,269.97,4,2023,Food & Beverages
Mustard Oil (Average Quality),Gujranwala,600.0,4,2023,Food & Beverages
Cooking Oil DALDA or Other Similar B,Gujranwala,3290.0,4,2023,Food & Beverages
Vegetable Ghee DALDA/HABIB 2.5 kg,Gujranwala,1550.0,4,2023,Food & Beverages
Bananas (Kela) Local,Gujranwala,235.8,4,2023,Food & Beverages
Pulse Masoor (Washed),Gujranwala,262.46,4,2023,Food & Beverages
Pulse Moong (Washed),Gujranwala,260.0,4,2023,Food & Beverages
