Year,Source,Target,Weight,Weight_Avg_Sim
2025,Chilies Powder NATIONAL 200 gm Packet,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",5,0.36936988140449545
2025,Chilies Powder NATIONAL 200 gm Packet,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,5,0.39605355686974375
2025,"Cooking Oil DALDA or Other Similar Brand (SN), 5 Litre Tin",Vegetable Ghee DALDA/HABIB 2.5 kg Tin,9,0.7473581636856342
2025,Curd (Dahi) Loose,Milk fresh (Un-boiled),5,0.4055208347004252
2025,Hi-Speed Diesel,Petrol Super,17,0.8599315267823188
2025,Lawn Printed Gul Ahmed/Al Karam,"Long Cloth 57"" Gul Ahmed/Al Karam",6,0.46509417887773796
2025,Vegetable Ghee DALDA/HABIB 2.5 kg Tin,Vegetable Ghee DALDA/HABIB or Other superior Quality 1 kg Pouch,7,0.6557868979679431

